"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"1997","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","279,339.9",""
"1998","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","290,596.1",""
"1999","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","300,540.4",""
"2000","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","316,305.6",""
"2001","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","323,634.2",""
"2002","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","333,129.7",""
"2003","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","330,588.3",""
"2004","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","337,683.5",""
"2005","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","347,213.5",""
"2006","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","361,149.2",""
"2007","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","375,976.0",""
"2008","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","369,133.3",""
"2009","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","347,957.1",""
"2010","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","360,218.9",""
"2011","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","365,847.3",""
"2012","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","369,537.5",""
"2013","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","371,531.9",""
"2014","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","383,955.8",""
"2015","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","400,193.1",""
"2016","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","399,449.2",""
"2017","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","405,465.5",""
"2018","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","409,435.3",""
"2019","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear","418,615.3",""
"2020","European Union - 28 countries (2013-2020)","Current prices, million euro","Clothing and footwear",":",""
